,id,score,word_sent,total_time,date,attempts,time_find_word,length,vowels,win
1,62d22e90373d811b82ed999e,0.875,paternos,3.310622717999649,2022-07-16T03:20:50.328013,2,2.2201118299999507,8,3,True
2,62d22e90373d811b82ed999e,1.0,maternos,3.310622717999649,2022-07-16T03:20:51.034435,3,2.2201118299999507,8,3,True
0,62d22f97373d811b82ed9a30,0.2857142857142857,antirio,2.984368502999132,2022-07-16T03:25:12.251919,1,1.961306065997633,7,4,True
1,62d22f97373d811b82ed9a30,0.4285714285714285,vegecio,2.984368502999132,2022-07-16T03:25:12.874191,2,1.961306065997633,7,4,True
2,62d22f97373d811b82ed9a30,1.0,expolio,2.984368502999132,2022-07-16T03:25:13.554510,3,1.961306065997633,7,4,True
0,62d22f4e373d811b82ed99fc,0.375,cortadas,3.379868307998549,2022-07-16T03:23:59.072829,1,2.25190324399955,8,3,True
1,62d22f4e373d811b82ed99fc,0.375,honecker,3.379868307998549,2022-07-16T03:23:59.873103,2,2.25190324399955,8,3,True
2,62d22f4e373d811b82ed99fc,1.0,folclore,3.379868307998549,2022-07-16T03:24:00.536110,3,2.25190324399955,8,3,True
0,62d22f90373d811b82ed9a2a,0.1666666666666666,marido,3.8165181270014727,2022-07-16T03:25:05.497936,1,2.7644940259997384,6,3,True
1,62d22f90373d811b82ed9a2a,0.5,vienes,3.8165181270014727,2022-07-16T03:25:06.253391,2,2.7644940259997384,6,3,True
2,62d22f90373d811b82ed9a2a,0.8333333333333334,exigen,3.8165181270014727,2022-07-16T03:25:06.873549,3,2.7644940259997384,6,3,True
3,62d22f90373d811b82ed9a2a,1.0,eligen,3.8165181270014727,2022-07-16T03:25:07.513368,4,2.7644940259997384,6,3,True
0,62d22f23373d811b82ed99db,0.3636363636363636,peloritanos,2.56303901100182,2022-07-16T03:23:16.530555,1,1.5362844629999015,11,5,True
1,62d22f23373d811b82ed99db,1.0,septuaginta,2.56303901100182,2022-07-16T03:23:17.355308,2,1.5362844629999015,11,5,True
0,62d22fbe373d811b82ed9a47,0.3,contenidas,2.603788596999948,2022-07-16T03:25:50.794413,1,1.573612352000055,10,4,True
1,62d22fbe373d811b82ed9a47,1.0,perdedores,2.603788596999948,2022-07-16T03:25:51.614582,2,1.573612352000055,10,4,True
0,62d2300c373d811b82ed9a75,0.3333333333333333,cartas,3.2729338289973384,2022-07-16T03:27:09.558935,1,2.150067575999856,6,2,True
